화면,ID,이름,유형,원본 x,원본 y,원본 폭,원본 높이,Figma x,Figma y,Figma 폭,Figma 높이,목적지,동작,최대 글자수,필수,터치 참고
S10,listen-original,원문 듣기,icon,657,627,103,104,300.39,286.67,47.09,47.55,O_LISTEN,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S10,candidate0,인식 후보 1,radio,64,934,581,132,29.26,427.03,265.64,60.35,,candidate:0,,False,시각 영역이 최소 터치 기준 이상
S10,listen0,후보 1 듣기,icon,660,960,86,88,301.76,438.92,39.32,40.23,O_LISTEN,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S10,candidate1,인식 후보 2,radio,64,1088,581,132,29.26,497.44,265.64,60.35,,candidate:1,,False,시각 영역이 최소 터치 기준 이상
S10,listen1,후보 2 듣기,icon,660,1114,86,88,301.76,509.33,39.32,40.23,O_LISTEN,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S10,candidate2,인식 후보 3,radio,64,1242,581,132,29.26,567.85,265.64,60.35,,candidate:2,,False,시각 영역이 최소 터치 기준 이상
S10,listen2,후보 3 듣기,icon,660,1268,86,88,301.76,579.74,39.32,40.23,O_LISTEN,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S10,next,이 문장으로 할게요,button,65,1569,723,118,29.72,717.36,330.56,53.95,S11,confirm_selection,,False,시각 영역이 최소 터치 기준 이상
S10,edit,직접 수정,button,302,1713,256,94,138.08,783.2,117.05,42.98,S11,navigate,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S11,listen,선택한 문장 듣기,button,96,802,662,100,43.89,366.68,302.67,45.72,O_LISTEN,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S11,listen-icon,선택 문장 음성 아이콘,icon,641,652,117,121,293.07,298.1,53.49,55.32,O_LISTEN,overlay,,False,시각 영역이 최소 터치 기준 이상
S11,content,보낼 문장 직접 수정,textarea,74,1129,708,274,33.83,516.19,323.7,125.28,O_EDIT_MESSAGE,overlay,200,True,시각 영역이 최소 터치 기준 이상
S11,rerecord,다시 말하기,card,51,1455,750,121,23.32,665.24,342.91,55.32,S09,record,,False,시각 영역이 최소 터치 기준 이상
S11,next,이 문장으로 진행,button,54,1616,742,111,24.69,738.85,339.25,50.75,S12,confirm_message,,False,시각 영역이 최소 터치 기준 이상
S12,approve,문장을 확인했어요,checkbox,50,856,753,166,22.86,391.37,344.28,75.9,S21,approve,,False,시각 영역이 최소 터치 기준 이상
S12,edit,문장 다시 수정,card,50,415,753,408,22.86,189.74,344.28,186.54,S11,edit_reset,,False,시각 영역이 최소 터치 기준 이상
S12,home,홈으로,button,300,1706,256,84,137.16,780,117.05,38.41,S08,navigate,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S13,menu,앱 메뉴,icon,748,46,68,74,341.99,21.03,31.09,33.83,O_MENU,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S18,menu,앱 메뉴,icon,748,46,68,74,341.99,21.03,31.09,33.83,O_MENU,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S19,menu,앱 메뉴,icon,748,46,68,74,341.99,21.03,31.09,33.83,O_MENU,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S13,search,핵심표현 검색,input,44,354,765,84,20.12,161.85,349.77,38.41,O_SEARCH_EXPRESSION,overlay,40,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S13,filter0,이름,tab,42,465,132,68,19.2,212.6,60.35,31.09,,filter:0,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S13,filter1,장소,tab,192,465,133,68,87.78,212.6,60.81,31.09,,filter:1,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S13,filter2,시간,tab,341,465,132,68,155.91,212.6,60.35,31.09,,filter:2,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S13,filter3,메시지,tab,489,465,140,68,223.58,212.6,64.01,31.09,,filter:3,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S13,filter4,자주 쓰는 말,tab,646,465,181,68,295.36,212.6,82.75,31.09,,filter:4,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S13,expression0,핵심표현 1 상세,card,45,630,514,119,20.57,288.04,235.01,54.41,S14,navigate,,False,시각 영역이 최소 터치 기준 이상
S13,favorite0,표현 1 즐겨찾기,icon,566,665,49,51,258.78,304.04,22.4,23.32,,favorite:0,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S13,expression1,핵심표현 2 상세,card,45,760,514,119,20.57,347.48,235.01,54.41,S14,navigate,,False,시각 영역이 최소 터치 기준 이상
S13,favorite1,표현 2 즐겨찾기,icon,566,795,49,51,258.78,363.48,22.4,23.32,,favorite:1,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S13,expression2,핵심표현 3 상세,card,45,890,514,119,20.57,406.92,235.01,54.41,S14,navigate,,False,시각 영역이 최소 터치 기준 이상
S13,favorite2,표현 3 즐겨찾기,icon,566,925,49,51,258.78,422.92,22.4,23.32,,favorite:2,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S13,expression3,핵심표현 4 상세,card,45,1020,514,119,20.57,466.35,235.01,54.41,S14,navigate,,False,시각 영역이 최소 터치 기준 이상
S13,favorite3,표현 4 즐겨찾기,icon,566,1055,49,51,258.78,482.36,22.4,23.32,,favorite:3,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S13,expression4,핵심표현 5 상세,card,45,1150,514,119,20.57,525.79,235.01,54.41,S14,navigate,,False,시각 영역이 최소 터치 기준 이상
S13,favorite4,표현 5 즐겨찾기,icon,566,1185,49,51,258.78,541.79,22.4,23.32,,favorite:4,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S13,expression5,핵심표현 6 상세,card,45,1280,514,119,20.57,585.23,235.01,54.41,S14,navigate,,False,시각 영역이 최소 터치 기준 이상
S13,favorite5,표현 6 즐겨찾기,icon,566,1315,49,51,258.78,601.23,22.4,23.32,,favorite:5,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S13,expression6,핵심표현 7 상세,card,45,1410,514,119,20.57,644.67,235.01,54.41,S14,navigate,,False,시각 영역이 최소 터치 기준 이상
S13,favorite6,표현 7 즐겨찾기,icon,566,1445,49,51,258.78,660.67,22.4,23.32,,favorite:6,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S13,expression7,핵심표현 8 상세,card,45,1540,514,119,20.57,704.1,235.01,54.41,S14,navigate,,False,시각 영역이 최소 터치 기준 이상
S13,favorite7,표현 8 즐겨찾기,icon,566,1575,49,51,258.78,720.11,22.4,23.32,,favorite:7,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S13,add,새 표현 추가,button,43,1685,604,96,19.66,770.4,276.15,43.89,S07,new_expression,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S14,back,내 핵심표현으로,icon,43,52,77,81,19.66,23.77,35.21,37.03,S13,navigate,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S14,favorite,즐겨찾기,button,578,415,188,70,264.27,189.74,85.96,32,,toggle:detail_favorite,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S14,edit,표현 수정,button,48,1417,757,102,21.95,647.87,346.11,46.64,S07,edit_expression,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S14,delete,표현 삭제,button,49,1535,754,101,22.4,701.82,344.74,46.18,S27,navigate,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S14,listen,등록 표현 듣기,button,49,1652,754,105,22.4,755.31,344.74,48.01,O_LISTEN,overlay,,False,시각 영역이 최소 터치 기준 이상
S15,reset,교정 이력 전체 초기화,button,605,76,203,62,276.61,34.75,92.81,28.35,S22,navigate,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S15,delete0,승인 교정 1 삭제,icon,695,815,80,82,317.76,372.63,36.58,37.49,O_DELETE_CORRECTION,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S15,delete1,승인 교정 2 삭제,icon,695,1023,80,82,317.76,467.73,36.58,37.49,O_DELETE_CORRECTION,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S15,delete2,승인 교정 3 삭제,icon,695,1224,80,82,317.76,559.62,36.58,37.49,O_DELETE_CORRECTION,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S15,delete3,승인 교정 4 삭제,icon,695,1412,80,82,317.76,645.58,36.58,37.49,O_DELETE_CORRECTION,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S15,delete4,승인 교정 5 삭제,icon,695,1611,80,82,317.76,736.57,36.58,37.49,O_DELETE_CORRECTION,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S15,home,홈 메뉴,link,59,67,266,84,26.98,30.63,121.62,38.41,O_MENU,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S16,settings,기기 마이크 설정으로,button,74,1344,705,132,33.83,614.49,322.33,60.35,O_PERMISSION,overlay,,False,시각 영역이 최소 터치 기준 이상
S16,registered,등록문장 선택,button,76,1500,702,121,34.75,685.81,320.96,55.32,S13,navigate,,False,시각 영역이 최소 터치 기준 이상
S16,type,직접 입력,button,76,1639,702,121,34.75,749.37,320.96,55.32,S11,navigate,,False,시각 영역이 최소 터치 기준 이상
S17,again,다시 말하기,button,82,1196,688,133,37.49,546.82,314.56,60.81,S09,record,,False,시각 영역이 최소 터치 기준 이상
S17,edit,직접 수정,button,83,1355,687,131,37.95,619.52,314.1,59.89,S11,navigate,,False,시각 영역이 최소 터치 기준 이상
S17,registered,등록문장 선택,button,82,1510,688,132,37.49,690.39,314.56,60.35,S13,navigate,,False,시각 영역이 최소 터치 기준 이상
S17,back,이전 단계로 돌아가기,link,250,1680,407,103,114.3,768.11,186.08,47.09,S08,navigate,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S17,menu,앱 메뉴,icon,739,94,79,82,337.88,42.98,36.12,37.49,O_MENU,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S18,access,접근성 설정,card,46,529,760,148,21.03,241.86,347.48,67.67,S04,navigate,,False,시각 영역이 최소 터치 기준 이상
S18,tts,TTS 설정,card,46,682,760,150,21.03,311.82,347.48,68.58,O_TTS,overlay,,False,시각 영역이 최소 터치 기준 이상
S18,delete-data,기기 데이터 삭제,card,46,835,760,156,21.03,381.77,347.48,71.32,O_DELETE_ALL,overlay,,False,시각 영역이 최소 터치 기준 이상
S18,privacy,개인정보 처리방침,card,46,1107,760,148,21.03,506.13,347.48,67.67,O_PRIVACY,overlay,,False,시각 영역이 최소 터치 기준 이상
S18,help,서비스 사용법,card,46,1258,760,150,21.03,575.17,347.48,68.58,S02,navigate,,False,시각 영역이 최소 터치 기준 이상
S18,contact,문의하기,card,46,1411,760,150,21.03,645.12,347.48,68.58,O_CONTACT,overlay,,False,시각 영역이 최소 터치 기준 이상
S19,catalog,말친구 도감 보기,button,104,1649,645,90,47.55,753.94,294.9,41.15,O_CATALOG,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S19,guide,리워드 안내,link,301,1750,272,61,137.62,800.12,124.36,27.89,O_REWARD,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S19,register,표현 등록 미션,icon,654,756,126,125,299.02,345.65,57.61,57.15,S07,navigate,,False,시각 영역이 최소 터치 기준 이상
S19,approve,문장 승인 미션,icon,654,956,126,124,299.02,437.09,57.61,56.69,S08,navigate,,False,시각 영역이 최소 터치 기준 이상
S19,streak,연속 사용 미션,icon,654,1157,126,130,299.02,528.99,57.61,59.44,O_REWARD,overlay,,False,시각 영역이 최소 터치 기준 이상
S20,set,대표 캐릭터로 설정,button,87,1420,678,113,39.78,649.24,309.99,51.66,S08,select_character,,False,시각 영역이 최소 터치 기준 이상
S20,catalog,도감에서 보기,button,89,1558,678,114,40.69,712.33,309.99,52.12,O_CATALOG,overlay,,False,시각 영역이 최소 터치 기준 이상
S20,later,나중에 할게요,link,307,1710,293,64,140.36,781.83,133.96,29.26,S08,navigate,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S21,unapprove,승인 취소,checkbox,50,856,753,166,22.86,391.37,344.28,75.9,S12,unapprove,,False,시각 영역이 최소 터치 기준 이상
S21,edit,보낼 문장 다시 수정,card,50,415,753,408,22.86,189.74,344.28,186.54,S11,edit_reset,,False,시각 영역이 최소 터치 기준 이상
S21,share-system,시스템 공유,button,50,1362,234,165,22.86,622.72,106.99,75.44,O_SHARE,share_gate,,False,시각 영역이 최소 터치 기준 이상
S21,copy,텍스트 복사,button,307,1362,235,165,140.36,622.72,107.44,75.44,O_COPIED,share_gate,,False,시각 영역이 최소 터치 기준 이상
S21,message,메시지 공유,button,563,1362,240,165,257.41,622.72,109.73,75.44,O_SHARE,share_gate,,False,시각 영역이 최소 터치 기준 이상
S21,share,공유하기,button,50,1553,752,135,22.86,710.05,343.82,61.72,O_SHARE,share_gate,,False,시각 영역이 최소 터치 기준 이상
S21,home,홈으로,button,300,1706,256,84,137.16,780,117.05,38.41,S08,navigate,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
